,Bearing 1-x,Bearing 1-y,Bearing 2-x,Bearing 2-y,Bearing 3-x,Bearing 3-y,Bearing 4-x,Bearing 4-y
2003-10-29 14:39:46,0.13782228615693892,0.2841286112241548,0.053083689322587,0.05305847103522554,0.009777194818840762,0.011635470705682494,0.38584967353903565,0.32480289251810834
2003-10-29 14:49:46,0.12740123934937575,0.3195287802435143,0.05483178799488897,0.06258178634925038,0.0070955346557981525,0.00687113352376012,0.38208307465474245,0.3240939167693293
2003-10-29 14:59:46,0.13705322562796596,0.39674559454130964,0.06043147236880886,0.06632026857509254,0.010614208352031196,0.009688419541018733,0.3879681895841277,0.32896088731338236
2003-10-29 15:09:46,0.11393991368819734,0.2411929950858891,0.036522591883353606,0.05749975182072653,0.005119848416657857,0.003402530455605346,0.3781562330609257,0.3177555963727682
2003-10-29 15:19:46,0.15689664711742957,0.3303468027167984,0.057770695191112775,0.05963747777668038,0.002523340346291092,0.009519265289279044,0.3897093743327745,0.3251673523744433
2003-10-29 15:29:46,0.26221367710526167,0.4875582960342939,0.07226023904759016,0.08418127916106499,0.00876262340351286,0.01486884690954704,0.3960425422013364,0.3298377783710843
2003-10-29 15:39:46,0.2530015491866866,0.4692400388118738,0.05489256455448288,0.06380801754403231,0.00986833909581658,0.011575043537880303,0.3840695471263339,0.9912841661010455
2003-10-29 15:49:46,0.18974493747924726,0.3882202885849271,0.05394486226897932,0.07207915564901413,0.008275994962782973,0.010773390384385073,0.3879265622880793,0.3212573704205246
2003-10-29 15:59:46,0.16442126811992708,0.3893901217565343,0.057198983486283606,0.07044342866427078,0.010030601139079609,0.014335038745527218,0.3917804442124716,0.3294221718976583
2003-10-29 16:09:46,0.24881874515879332,0.40819352718399315,0.05485342032963292,0.03734082684306639,0.007338218119924522,0.008329958263435744,0.3870125521963593,0.32857616181631344
2003-10-29 16:19:46,0.2610185902401394,0.3517911358728423,0.03672140334103702,0.04547772252656479,0.008104429264944313,0.007764786517507893,0.38246532960984136,0.32389254706935755
2003-10-29 16:29:46,0.2671544760429736,0.4537622460796733,0.08642529788239806,0.07104357125454142,0.011084752508595919,0.01453618385080524,0.39280411761096834,0.3318807479629746
2003-10-29 16:39:46,0.22894489321679767,0.4601317725124705,0.0699424888928264,0.05575572842869958,0.006961498954361656,0.005840317131811434,0.37993814989496666,0.32262996548407175
